INNOVACION,DESCRIPCION,INDEX,PINDEX,ENTIDAD,SECTOR
Marca Sumapaz,crear una marca para los productos locales,1,2,Alcaldía Local De Sumapaz,Sector descentralizado territorialmente
ESTANDARIZACIÓN PROCESO DE GESTIÓN DE ADQUISICIÓN PREDIAL  -PLMB,"Una de las actividades misionales de la entidad es la adquisición de predios para la ejecución de la Primera Línea del Metro de Bogotá, esta actividad se encuentra incluida en el proceso AP - Gestión de Adquisición Predial el cuál es liderado por la Subgerencia de Gestión Predial.",2,3,Empresa Metro De Bogotá S.A.,Movilidad
Mejorar las necesidades que diferentes especialistas encontraron en sus servicios,"Se desarrollaron estrategias para mejorar las necesidades que diferentes especialistas encontraron en sus servicios, ejemplos de esto son las siguientes iniciativas:  
  
RED ACV BOGOTA 
REUMATOLOGIA. EXAMEN ARTICULAR ESTANDARIZADO 
NEOPADRES",3,4,Subred Integrada De Servicios De Salud Norte E.S.E.,Salud
Desarrollos en el Sistema de información Distrital del Empleo y la Administración Pública (SIDEAP).,"Cambiar el correo electrónico de manera rápida y segura. 
https://www.serviciocivil.gov.co/tablero-de-control/Empleo%20P%C3%BAblico%20Bogot%C3%A1",4,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
Desarrollo mejoras de Talento No Palanca - con prototipo,historia de usuarios para incluir el filtro de priorización de personas con identidad de género diversas,5,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
Certificaciones de Reporte de Talento Humano,"Reporte y cierre mensual información de TH distrital, para control de cambios. Para generar Reportes de calidad desde SIDEAP",6,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
Teletrabajo,Llevar control de los servidores que se encuentren en esta modalidad de trabajo,7,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
Aplicativo mejorado - PAI Plan de Acción Institucional,"Programación del Plan de Acción Institucional, en el aplicativo PAI",8,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
Horarios Escalonados,"Registro de  los horarios laborales de las servidoras y servidores públicos, pactados bilateralmente",9,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
Acondicionamiento Proceso Gestión del Conocimiento de acuerdo a MIPG,Creación de los documentos del proceso con enfoque MIPG. Creación de nuevo Procesos de Gestión de la Información del TH y traslado  de documentos.,10,5,Departamento Administrativo Del Servicio Civil Distrital,Gestión Pública
